Issue Description,Assignees to the Issue,Link
Hide Fork button if disabled,,https://github.com/sindresorhus/refined-github/issues/1601
"Add ""View Raw"" button next to all View buttons for files",,https://github.com/sindresorhus/refined-github/issues/1595
Distinct referenced commits style,,https://github.com/sindresorhus/refined-github/issues/1579
"Show issue number in ""Possibly related issues"" panel",,https://github.com/sindresorhus/refined-github/issues/1572
Keep link to repository for deleted branch,,https://github.com/sindresorhus/refined-github/issues/1487
Warn about long `Squash and Merge` commit message,,https://github.com/sindresorhus/refined-github/issues/1475
Double delete icons,,https://github.com/sindresorhus/refined-github/issues/1458
GitHub now has a Your Repositories link in your profile dropdown,,https://github.com/sindresorhus/refined-github/issues/1446
Remove Shift + Enter shortcut in favour of GitHub own single comment shortcut,,https://github.com/sindresorhus/refined-github/issues/1442
PR suggestion box has slightly more margin below the button than above,,https://github.com/sindresorhus/refined-github/issues/1434
PR suggestion box overlays extra extensions' content,,https://github.com/sindresorhus/refined-github/issues/1433
Filter is partially covered by first row in issue/PR page,,https://github.com/sindresorhus/refined-github/issues/1431
Show recently modified repos on profile landing pages,,https://github.com/sindresorhus/refined-github/issues/1423
Targeted timeline comment highlight doesn't work,,https://github.com/sindresorhus/refined-github/issues/1404
Highlight issues or PRs that belong to the user,,https://github.com/sindresorhus/refined-github/issues/1403
Disable browser autocomplete on issue/pr search,,https://github.com/sindresorhus/refined-github/issues/1391
"In review page, an individual scroll bar appears on every file",,https://github.com/sindresorhus/refined-github/issues/1382
Referer in code blocks linkified URLs,,https://github.com/sindresorhus/refined-github/issues/1376
API calls need Personal Token to support frequent calls and private repos,,https://github.com/sindresorhus/refined-github/issues/1374
Feature Request: In the activity feed make PR numbers link to the PR,,https://github.com/sindresorhus/refined-github/issues/1354
Don't show items from archived repos in issues/PRs overviews,,https://github.com/sindresorhus/refined-github/issues/1353
Declutter the review submit dialog more by removing unnecessary header,,https://github.com/sindresorhus/refined-github/issues/1314
Console Errors,,https://github.com/sindresorhus/refined-github/issues/1305
"Hide ""Checks"" tab on Pull request page",,https://github.com/sindresorhus/refined-github/issues/1304
Markdown rich diff tooltip appears underneath diff settings bar,,https://github.com/sindresorhus/refined-github/issues/1295
List of all the available features ,,https://github.com/sindresorhus/refined-github/issues/1275
Error in console,,https://github.com/sindresorhus/refined-github/issues/1273
Searching related issues is happening even on empty title,,https://github.com/sindresorhus/refined-github/issues/1267
Embedded Gists destroy content,,https://github.com/sindresorhus/refined-github/issues/1263
Add shortcut to Draft a new release on releases page,,https://github.com/sindresorhus/refined-github/issues/1254
Don't clutter the global search bar in the global Pull Requests page,,https://github.com/sindresorhus/refined-github/issues/1253
Upload icon missing,,https://github.com/sindresorhus/refined-github/issues/1242
'Jump to bottom' link not working,,https://github.com/sindresorhus/refined-github/issues/1228
tick is offset,,https://github.com/sindresorhus/refined-github/issues/1221
"Button to switch base and head in ""Compare"" page",,https://github.com/sindresorhus/refined-github/issues/1217
Hide hovertext 'Open in Github Dekstop',,https://github.com/sindresorhus/refined-github/issues/1212
"Hide ""edited wiki"" in Browse activity",,https://github.com/sindresorhus/refined-github/issues/1208
"Problem with showing ""open pull request"" shortcut",,https://github.com/sindresorhus/refined-github/issues/1189
Add option to specify custom CSS,,https://github.com/sindresorhus/refined-github/issues/1186
