Issue Description,Assignees to the Issue,Link
Improve SaveChanges circular dependency exception,,https://github.com/dotnet/efcore/issues/8363
Hidden columns are scaffolded,,https://github.com/dotnet/efcore/issues/8192
Unable to cast object of type 'System.Func`2 using entity framework core. v1.1.1,,https://github.com/dotnet/efcore/issues/8182
SqlServer: Fluent API to configure a column as SPARSE column,,https://github.com/dotnet/efcore/issues/8023
SQLite Migrations: Rebuild renamed indexes,,https://github.com/dotnet/efcore/issues/7821
SQL Server: Error better when no database name,,https://github.com/dotnet/efcore/issues/7816
Query: ParameterExtraction creates a parameter for every instance even though same variable is referenced,,https://github.com/dotnet/efcore/issues/7797
Query: Add missing translators for Math functions in SqlServer provider,,https://github.com/dotnet/efcore/issues/7601
Use Task.FromResult consistently,,https://github.com/dotnet/efcore/issues/7445
Add Property/Reference/etc overloads that take IProperty/INavigation,,https://github.com/dotnet/efcore/issues/7390
Design: Look at generic parameters when generating namespace using directives,,https://github.com/dotnet/efcore/issues/7352
Migrations: Make generated code play well with StyleCop,,https://github.com/dotnet/efcore/issues/7189
"Add IsRelational(), IsSqlServer(), IsInMemory(), etc. (or GetProviderName()) on DatabaseFacade",,https://github.com/dotnet/efcore/issues/6983
Migrations: Attempt better ordering when adding computed columns,,https://github.com/dotnet/efcore/issues/6853
Migrations: Handle GO statements in SQL Server,,https://github.com/dotnet/efcore/issues/6747
Support creating non-durable SQL Server memory-optimized tables,,https://github.com/dotnet/efcore/issues/6671
Allow changing the connection string for a DbContext instance,,https://github.com/dotnet/efcore/issues/6525
Support for DateAdd,,https://github.com/dotnet/efcore/issues/6402
Provide a data annotation for setting backing fields,,https://github.com/dotnet/efcore/issues/6266
Support for translating ToString() to SQL,,https://github.com/dotnet/efcore/issues/6264
Migrations: SQL Server Filtered Indexes,,https://github.com/dotnet/efcore/issues/5817
"Provide Migration ""Hooks""",,https://github.com/dotnet/efcore/issues/5581
Microsoft.EntityFrameworkCore.Tools does not support Shared Projects,,https://github.com/dotnet/efcore/issues/5248
Test fixture base class uses SqlServer-specific code,,https://github.com/dotnet/efcore/issues/5216
"SQL Server: Support INCLUDE (columnA, columnB...) clause when creating indexes",,https://github.com/dotnet/efcore/issues/4846
ModelBuilder: Allow mixing CLR and shadow properties in HasKey (and elsewhere),,https://github.com/dotnet/efcore/issues/4842
Query: Translate DateTime.Month/Day/Year etc.,,https://github.com/dotnet/efcore/issues/4582
Query: Translate bitwise operations,,https://github.com/dotnet/efcore/issues/4255
"Cleanup code generated in ModelSnapshot (extra line breaks, etc.)",,https://github.com/dotnet/efcore/issues/4253
Support for defining query in query types,,https://github.com/dotnet/efcore/issues/3932
Make InMemory provider enforce uniqueness of Alternate Keys,,https://github.com/dotnet/efcore/issues/3850
Query: Concating null with not null string resulting in null,,https://github.com/dotnet/efcore/issues/3836
Allow reusing column names for multiple properties,,https://github.com/dotnet/efcore/issues/3821
Feature Request: Specifying Included Columns for an Index,,https://github.com/dotnet/efcore/issues/3748
From_sql_queryable_simple_projection_composed isn't portable,,https://github.com/dotnet/efcore/issues/3548
OrderByDescending(...).First() returns random for a not mapped property,,https://github.com/dotnet/efcore/issues/3302
Naming nitpicking: rename cross apply to lateral join,,https://github.com/dotnet/efcore/issues/3118
ContainsTranslater support for more than strings,,https://github.com/dotnet/efcore/issues/3078
Equivalent to ObjectContext.CreateDatabaseScript,,https://github.com/dotnet/efcore/issues/2943
Script-Migrations throws when no migrations,,https://github.com/dotnet/efcore/issues/2942
Support Enum.HasFlag in LINQ,,https://github.com/dotnet/efcore/issues/2852
Query: Provide EF.Functions to define methods that correspond to standard SQL operations,,https://github.com/dotnet/efcore/issues/2850
Error when specifying AttachDbFileName in connection string,,https://github.com/dotnet/efcore/issues/2810
Replace FunctionEvaluationDisablingVisitor and FunctionEvaluationEnablingVisitor with EvaluatableExpressionFilter,,https://github.com/dotnet/efcore/issues/2667
Migrations: CHECK Required Columns on TPH Derived Types,,https://github.com/dotnet/efcore/issues/2595
Migrations: CHECK Discriminator Values,,https://github.com/dotnet/efcore/issues/2594
Migrations Design: Invalid 'using' statements for default namespace,,https://github.com/dotnet/efcore/issues/2467
Add tests for ModelBuilder that use half-configured relationships,,https://github.com/dotnet/efcore/issues/2412
Column ordering,,https://github.com/dotnet/efcore/issues/2272
Migrations: Add ApplyMigrationsAsync (and related async methods),,https://github.com/dotnet/efcore/issues/2212
Add FK constraint checking to the in-memory provider,,https://github.com/dotnet/efcore/issues/2166
Hide Object-inherited members on certain APIs,,https://github.com/dotnet/efcore/issues/1367
CLI Tools: DBCONTEXT environment variable,,https://github.com/dotnet/efcore/issues/927
IndentedStringBuilder shouldn't create space-only lines,,https://github.com/dotnet/efcore/issues/654
Commands: A way to see current Migrations status,,https://github.com/dotnet/efcore/issues/577
